tid,population,white,indigenous,black,asian,minority,adult,income,home,rent,education,p_white,p_indig,p_black,p_asian,p_mnrty,p_poc,p_educ
2050001,3650,3215,55,330,20,30,1915,19592,148100,475,260,0.880821918,0.015068493,0.090410959,0.005479452,0.008219178,0.119178082,0.071232877
2050002,5200,4635,120,245,145,55,2805,24012,226552,534,835,0.891346154,0.023076923,0.047115385,0.027884615,0.010576923,0.108653846,0.160576923
2050003,2700,2240,10,90,290,70,1740,26366,479064,907,990,0.82962963,0.003703704,0.033333333,0.107407407,0.025925926,0.17037037,0.366666667
2050004.01,3205,2650,40,70,340,105,2425,17524,235254,780,1170,0.826833073,0.012480499,0.021840874,0.106084243,0.03276131,0.173166927,0.365054602
2050004.02,4175,3415,50,115,510,85,2885,14430,378830,761,1295,0.817964072,0.011976048,0.02754491,0.122155689,0.020359281,0.182035928,0.310179641
2050005,1730,1630,10,0,80,10,1165,33309,558133,907,745,0.942196532,0.005780347,0,0.046242775,0.005780347,0.057803468,0.430635838
2050006,3175,2990,15,0,110,60,2005,21605,447079,812,1155,0.941732283,0.004724409,0,0.034645669,0.018897638,0.058267717,0.363779528
2050007,1580,1460,0,10,60,50,910,14881,364430,901,495,0.924050633,0,0.006329114,0.037974684,0.03164557,0.075949367,0.313291139
2050008,2645,2175,50,60,240,120,1905,17942,315419,1013,890,0.822306238,0.018903592,0.02268431,0.09073724,0.04536862,0.177693762,0.336483932
2050009,1785,1570,15,95,95,10,1395,26009,261402,851,560,0.879551821,0.008403361,0.053221289,0.053221289,0.005602241,0.120448179,0.31372549
2050010,4610,2955,180,1255,155,65,2865,15101,250712,650,830,0.640997831,0.039045553,0.272234273,0.03362256,0.014099783,0.359002169,0.180043384
2050011,5605,5090,120,120,200,75,4170,19103,303090,891,1685,0.908117752,0.021409456,0.021409456,0.035682426,0.01338091,0.091882248,0.300624442
2050012,2570,2350,10,10,150,50,1810,23505,413990,892,1105,0.914396887,0.003891051,0.003891051,0.058365759,0.019455253,0.085603113,0.429961089
2050013,2615,2475,0,10,55,75,1660,28561,402536,701,920,0.946462715,0,0.003824092,0.021032505,0.028680688,0.053537285,0.351816444
2050014,3835,3665,95,30,15,30,2065,30006,271381,895,760,0.955671447,0.024771838,0.007822686,0.003911343,0.007822686,0.044328553,0.198174707
2050015,4720,4035,30,205,295,155,2750,22343,136526,637,600,0.854872881,0.006355932,0.043432203,0.0625,0.032838983,0.145127119,0.127118644
2050016,2940,2715,10,90,65,60,1940,28983,242734,722,690,0.923469388,0.003401361,0.030612245,0.022108844,0.020408163,0.076530612,0.234693878
2050017,2270,2125,40,70,10,25,1305,30850,344747,647,650,0.936123348,0.017621145,0.030837004,0.004405286,0.011013216,0.063876652,0.286343612
2050018,3620,3380,70,40,45,30,2110,23128,262096,683,815,0.933701657,0.019337017,0.011049724,0.012430939,0.008287293,0.051104972,0.225138122
2050019,4405,4265,15,65,100,35,3040,24967,242024,705,1260,0.968217934,0.003405221,0.014755959,0.022701476,0.007945516,0.048808173,0.286038593
2050020,2225,2070,25,90,25,15,1525,25173,282661,720,405,0.930337079,0.011235955,0.040449438,0.011235955,0.006741573,0.069662921,0.182022472
2050021,3070,2465,55,420,60,70,1655,27684,223159,533,695,0.802931596,0.017915309,0.136807818,0.019543974,0.022801303,0.197068404,0.226384365
2050022,5475,4985,75,275,55,85,3490,27653,187471,685,1200,0.910502283,0.01369863,0.050228311,0.010045662,0.015525114,0.089497717,0.219178082
2050023,4230,3490,100,335,170,135,2215,18195,211287,703,520,0.825059102,0.023640662,0.079196217,0.040189125,0.031914894,0.174940898,0.122931442
2050024,5360,4815,75,180,130,160,3175,23444,178227,665,605,0.898320896,0.013992537,0.03358209,0.024253731,0.029850746,0.101679104,0.112873134
2050025.01,4520,3835,60,185,185,255,2515,22627,179541,650,720,0.848451327,0.013274336,0.040929204,0.040929204,0.056415929,0.151548673,0.159292035
2050025.02,4880,4165,135,55,350,175,3075,24877,257003,701,1125,0.853483607,0.027663934,0.011270492,0.071721311,0.035860656,0.146516393,0.230532787
2050100,2775,2530,95,130,10,10,1585,22222,120872,625,190,0.911711712,0.034234234,0.046846847,0.003603604,0.003603604,0.088288288,0.068468468
2050101,3410,3105,135,85,40,45,2030,23378,150464,661,475,0.910557185,0.039589443,0.024926686,0.011730205,0.013196481,0.089442815,0.139296188
2050102,4155,3890,40,105,80,40,2610,27063,224727,656,945,0.93622142,0.009626955,0.025270758,0.019253911,0.009626955,0.06377858,0.227436823
2050103,4390,3845,95,180,190,80,2565,23600,193188,660,655,0.875854214,0.021640091,0.041002278,0.043280182,0.018223235,0.124145786,0.149202733
2050104.01,2005,1900,50,35,20,0,1100,29528,175911,728,275,0.947630923,0.024937656,0.017456359,0.009975062,0,0.052369077,0.137157107
2050104.02,6125,5745,25,60,255,40,3500,32377,235911,937,1200,0.937959184,0.004081633,0.009795918,0.041632653,0.006530612,0.062040816,0.195918367
2050108,4130,3840,20,60,105,105,2320,31395,266563,861,995,0.929782082,0.004842615,0.014527845,0.025423729,0.025423729,0.070217918,0.240920097
2050109,3350,3075,25,90,160,0,1775,26932,194318,642,740,0.917910448,0.007462687,0.026865672,0.047761194,0,0.082089552,0.220895522
2050110,1655,1460,25,125,45,0,805,21517,204718,586,155,0.882175227,0.01510574,0.075528701,0.027190332,0,0.117824773,0.093655589
2050111,3205,2875,60,185,65,20,1960,23337,142499,655,280,0.897035881,0.018720749,0.057722309,0.020280811,0.00624025,0.102964119,0.087363495
2050112,1960,1710,55,120,30,45,1080,22638,116910,560,85,0.87244898,0.028061224,0.06122449,0.015306122,0.022959184,0.12755102,0.043367347
